#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
4689491|2014-06-19 19:59:45|-19.8404|-70.8539|37.2|ISC|ISC|ISC|604747578|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
4766510|2014-08-14 00:02:54|-19.8580|-69.8580|44.0|MOS|ISC|ISC|610571848|MW|5.3|GCMT|NORTHERN CHILE
5004134|2015-02-02 15:22:08|-22.3308|-70.8603|14.1|ISC|ISC|ISC|606636041|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
5007254|2015-03-02 16:53:45|-27.8455|-71.1031|31.1|ISC|ISC|ISC|606760430|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
5114617|2015-05-22 19:39:34|-20.1552|-70.7057|19.7|ISC|ISC|ISC|610634746|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
5153567|2015-07-24 23:14:38|-20.2752|-70.2540|34.5|ISC|ISC|ISC|607506869|MW|5.3|GCMT|NEAR COAST OF NORTHERN CHILE
5162720|2015-09-16 23:31:49|-29.9883|-71.7953|35.0|us|NEIC PDE|us|us10003itb|mb|5.3|us|NEAR COAST OF CENTRAL CHILE
5160482|2015-09-16 23:36:29|-31.7893|-72.2389|11.3|us|NEIC PDE|us|us10003ita|mb|5.3|us|OFF COAST OF CENTRAL CHILE
5162610|2015-09-16 23:41:31|-30.4817|-72.1229|16.2|us|NEIC PDE|us|us10003iu7|mb|5.3|us|OFF COAST OF CENTRAL CHILE
5159119|2015-09-17 12:09:43|-32.1351|-72.2117|7.1|us|NEIC PDE|us|us20003kkt|mwr|5.3|us|OFF COAST OF CENTRAL CHILE
5159135|2015-09-17 16:08:35|-30.8916|-71.4020|35.0|guc|NEIC PDE|us|us20003klt|mwr|5.3|guc|NEAR COAST OF CENTRAL CHILE
5159139|2015-09-17 16:52:17|-29.7643|-72.0860|10.0|guc|NEIC PDE|us|us20003kmd|mwr|5.3|guc|OFF COAST OF CENTRAL CHILE
5177328|2016-03-16 03:49:32|-31.2410|-71.7314|25.4|us|NEIC PDE||us20005a3a|mww|5.3|us|NEAR COAST OF CENTRAL CHILE
5178954|2016-04-04 12:32:45|-31.2367|-71.7700|24.4|us|NEIC PDE|us|us20005eg7|Mww|5.3|us|NEAR COAST OF CENTRAL CHILE
5179195|2016-04-06 17:35:38|-31.4832|-71.7832|29.7|us|NEIC PDE|us|us20005fvy|Mww|5.3|us|NEAR COAST OF CENTRAL CHILE
5180106|2016-04-16 06:05:22|-26.4613|-69.8601|59.3|us|NEIC PDE|us|us20005iy5|Mww|5.3|us|NORTHERN CHILE
10117605|2017-04-28 17:41:49|-33.3021|-71.9527|20.9|us|NEIC PDE|us|us10008lnm|Mww|5.3|us|NEAR COAST OF CENTRAL CHILE
10275548|2017-07-14 12:00:29|-33.7495|-72.5524|10.0|us|NEIC PDE|us|us20009wav|Mww|5.3|us|OFF COAST OF CENTRAL CHILE
10278331|2017-07-22 06:29:50|-21.1864|-69.2466|47.1|us|NEIC PDE|us|us20009zmz|Mww|5.3|us|NORTHERN CHILE
10387228|2017-08-02 20:03:29|-28.4912|-71.2360|41.1|us|NEIC PDE|us|us10009j01|Mww|5.3|us|NEAR COAST OF CENTRAL CHILE
