Start,End
2017-12-11 05:37:04.779689,2017-12-11 05:38:04.779689
2017-12-11 05:38:04.779689,2017-12-11 05:39:04.779689
2017-12-11 05:39:04.779689,2017-12-11 05:40:04.779689
2017-12-11 05:40:04.779689,2017-12-11 05:41:04.779689
2017-12-11 05:41:04.779689,2017-12-11 05:42:04.779689
2017-12-11 05:42:04.779689,2017-12-11 05:43:04.779689
2017-12-11 05:43:04.779689,2017-12-11 05:44:04.779689
2017-12-11 05:44:04.779689,2017-12-11 05:45:04.779689
2017-12-11 05:47:48.656714,2017-12-11 05:48:48.656714
2017-12-11 05:48:48.656714,2017-12-11 05:49:48.656714
2017-12-11 05:49:48.656714,2017-12-11 05:50:48.656714
2017-12-11 05:50:48.656714,2017-12-11 05:51:48.656714
2017-12-11 05:51:48.656714,2017-12-11 05:52:48.656714
2017-12-11 05:52:48.656714,2017-12-11 05:53:48.656714
2017-12-11 05:53:48.656714,2017-12-11 05:54:48.656714
2017-12-11 05:54:48.656714,2017-12-11 05:55:48.656714
2017-12-11 05:55:48.656714,2017-12-11 05:56:48.656714
2017-12-11 05:56:48.656714,2017-12-11 05:57:48.656714
2017-12-11 05:57:48.656714,2017-12-11 05:58:48.656714
2017-12-11 05:58:48.656714,2017-12-11 05:59:48.656714
2017-12-11 05:59:48.656714,2017-12-11 06:00:48.656714
2017-12-11 06:00:48.656714,2017-12-11 06:01:48.656714
2017-12-11 06:01:48.656714,2017-12-11 06:02:48.656714
2017-12-11 06:02:48.656714,2017-12-11 06:03:48.656714
2017-12-11 06:03:48.656714,2017-12-11 06:04:48.656714
2017-12-11 06:04:48.656714,2017-12-11 06:05:48.656714
2017-12-11 06:05:48.656714,2017-12-11 06:06:48.656714
2017-12-11 06:06:48.656714,2017-12-11 06:07:48.656714
2017-12-11 06:07:48.656714,2017-12-11 06:08:48.656714
2017-12-11 06:08:48.656714,2017-12-11 06:09:48.656714
2017-12-11 06:09:48.656714,2017-12-11 06:10:48.656714
2017-12-11 06:10:48.656714,2017-12-11 06:11:48.656714
2017-12-11 06:11:48.656714,2017-12-11 06:12:48.656714
2017-12-11 06:12:48.656714,2017-12-11 06:13:48.656714
2017-12-11 06:13:48.656714,2017-12-11 06:14:48.656714
2017-12-11 06:14:48.656714,2017-12-11 06:15:48.656714
2017-12-11 06:15:48.656714,2017-12-11 06:16:48.656714
2017-12-11 06:16:48.656714,2017-12-11 06:17:48.656714
2017-12-11 06:17:48.656714,2017-12-11 06:18:48.656714
