Start,End
2017-12-11 05:33:58.956040,2017-12-11 05:34:58.956040
2017-12-11 05:34:58.956040,2017-12-11 05:35:58.956040
2017-12-11 05:35:58.956040,2017-12-11 05:36:58.956040
2017-12-11 05:36:58.956040,2017-12-11 05:37:58.956040
2017-12-11 05:37:58.956040,2017-12-11 05:38:58.956040
2017-12-11 05:38:58.956040,2017-12-11 05:39:58.956040
2017-12-11 05:39:58.956040,2017-12-11 05:40:58.956040
2017-12-11 05:40:58.956040,2017-12-11 05:41:58.956040
2017-12-11 05:41:58.956040,2017-12-11 05:42:58.956040
2017-12-11 05:42:58.956040,2017-12-11 05:43:58.956040
2017-12-11 05:43:58.956040,2017-12-11 05:44:58.956040
2017-12-11 05:44:58.956040,2017-12-11 05:45:58.956040
2017-12-11 05:48:14.368875,2017-12-11 05:49:14.368875
2017-12-11 05:49:14.368875,2017-12-11 05:50:14.368875
2017-12-11 05:50:14.368875,2017-12-11 05:51:14.368875
2017-12-11 05:51:14.368875,2017-12-11 05:52:14.368875
2017-12-11 05:52:14.368875,2017-12-11 05:53:14.368875
2017-12-11 05:53:14.368875,2017-12-11 05:54:14.368875
2017-12-11 05:54:14.368875,2017-12-11 05:55:14.368875
2017-12-11 05:55:14.368875,2017-12-11 05:56:14.368875
2017-12-11 05:56:14.368875,2017-12-11 05:57:14.368875
2017-12-11 05:57:14.368875,2017-12-11 05:58:14.368875
2017-12-11 05:58:14.368875,2017-12-11 05:59:14.368875
2017-12-11 05:59:14.368875,2017-12-11 06:00:14.368875
2017-12-11 06:00:14.368875,2017-12-11 06:01:14.368875
2017-12-11 06:01:14.368875,2017-12-11 06:02:14.368875
2017-12-11 06:02:14.368875,2017-12-11 06:03:14.368875
2017-12-11 06:03:14.368875,2017-12-11 06:04:14.368875
2017-12-11 06:04:14.368875,2017-12-11 06:05:14.368875
2017-12-11 06:05:14.368875,2017-12-11 06:06:14.368875
2017-12-11 06:06:14.368875,2017-12-11 06:07:14.368875
2017-12-11 06:07:14.368875,2017-12-11 06:08:14.368875
2017-12-11 06:08:14.368875,2017-12-11 06:09:14.368875
2017-12-11 06:09:14.368875,2017-12-11 06:10:14.368875
2017-12-11 06:10:14.368875,2017-12-11 06:11:14.368875
2017-12-11 06:11:14.368875,2017-12-11 06:12:14.368875
2017-12-11 06:12:14.368875,2017-12-11 06:13:14.368875
2017-12-11 06:13:14.368875,2017-12-11 06:14:14.368875
2017-12-11 06:14:14.368875,2017-12-11 06:15:14.368875
2017-12-11 06:15:14.368875,2017-12-11 06:16:14.368875
2017-12-11 06:16:14.368875,2017-12-11 06:17:14.368875
2017-12-11 06:17:14.368875,2017-12-11 06:18:14.368875
2017-12-11 06:18:14.368875,2017-12-11 06:19:14.368875
2017-12-11 06:19:14.368875,2017-12-11 06:20:14.368875
2017-12-11 06:20:14.368875,2017-12-11 06:21:14.368875
2017-12-11 06:21:14.368875,2017-12-11 06:22:14.368875
2017-12-11 06:22:14.368875,2017-12-11 06:23:14.368875
2017-12-11 06:23:14.368875,2017-12-11 06:24:14.368875
2017-12-11 06:24:14.368875,2017-12-11 06:25:14.368875
2017-12-11 06:25:14.368875,2017-12-11 06:26:14.368875
2017-12-11 06:26:14.368875,2017-12-11 06:27:14.368875
2017-12-11 06:27:14.368875,2017-12-11 06:28:14.368875
2017-12-11 06:28:14.368875,2017-12-11 06:29:14.368875
2017-12-11 06:29:14.368875,2017-12-11 06:30:14.368875
2017-12-11 06:30:14.368875,2017-12-11 06:31:14.368875
2017-12-11 06:31:14.368875,2017-12-11 06:32:14.368875
2017-12-11 06:34:30.467377,2017-12-11 06:35:30.467377
2017-12-11 06:35:30.467377,2017-12-11 06:36:30.467377
2017-12-11 06:36:30.467377,2017-12-11 06:37:30.467377
2017-12-11 06:37:30.467377,2017-12-11 06:38:30.467377
2017-12-11 06:38:30.467377,2017-12-11 06:39:30.467377
2017-12-11 06:39:30.467377,2017-12-11 06:40:30.467377
2017-12-11 06:40:30.467377,2017-12-11 06:41:30.467377
2017-12-11 06:41:30.467377,2017-12-11 06:42:30.467377
2017-12-11 06:42:30.467377,2017-12-11 06:43:30.467377
2017-12-11 06:43:30.467377,2017-12-11 06:44:30.467377
2017-12-11 06:44:30.467377,2017-12-11 06:45:30.467377
2017-12-11 06:45:30.467377,2017-12-11 06:46:30.467377
2017-12-11 06:46:30.467377,2017-12-11 06:47:30.467377
2017-12-11 06:47:30.467377,2017-12-11 06:48:30.467377
2017-12-11 06:48:30.467377,2017-12-11 06:49:30.467377
2017-12-11 06:49:30.467377,2017-12-11 06:50:30.467377
2017-12-11 06:50:30.467377,2017-12-11 06:51:30.467377
2017-12-11 06:51:30.467377,2017-12-11 06:52:30.467377
2017-12-11 06:52:30.467377,2017-12-11 06:53:30.467377
2017-12-11 06:53:30.467377,2017-12-11 06:54:30.467377
2017-12-11 06:54:30.467377,2017-12-11 06:55:30.467377
2017-12-11 06:55:30.467377,2017-12-11 06:56:30.467377
2017-12-11 06:56:30.467377,2017-12-11 06:57:30.467377
2017-12-11 06:57:30.467377,2017-12-11 06:58:30.467377
2017-12-11 06:58:30.467377,2017-12-11 06:59:30.467377
